symbol,interval,rows,cv_accuracy,model_path
BTCUSDT,1m,1573809,0.4065390524626288,models/gbm_BTCUSDT.pkl
ETHUSDT,1m,1573809,0.4108371679863973,models/gbm_ETHUSDT.pkl
BNBUSDT,1m,1573809,0.3940442468766799,models/gbm_BNBUSDT.pkl
BTCUSDT,1m,1048240,0.8029840494543234,models/gbm_BTCUSDT_1m_2022-01-01--2023-12-31.pkl
